: 1_Inflectional_morphology - I01 [noun - plural_reg]
album albums
book library/shelf/collection/accounting/accounting_system/method_of_accounting
calf cattle/herd
car train/procession
cat clowder/glaring/clutter/pounce
cattle herd
christian congregation/church/parish
citizen citizenry/country/state
college university
county state/country
cow herd
crow murder
division company/business/platoon/battle_group
elephant herd
employee staff/company
fish school
flower bouquet/bunch
galaxy universe
goose gaggle
juror jury
kitten litter
letter alphabet
lion pride
listener audience
member club/team/group/band/community
musician orchestra/band
nomad horde
page book/notebook/website/web-site
parishioner parish/church
person society/company/party/world
photo album/collection/library
player team/group/orchestra
policeman police
secretary staff
senator senate/house
sheep flock
shrub shrubbery
singer choir/band/duo/trio/quartet
soldier army/unit/division/troop
song album/collection/antology/library
spouse couple/relationship/family
star constellation/galaxy
state country/province
student class/school
tree forest/wood/grove
wolf pack
word paragraph/sentence/text
: 4_Lexicographic_semantics - L06 [meronyms - part]
academia college/university/institute
apartment bedroom/room/bathroom/kitchen/kitchenette/living_room/pantry/toilet/shower_room
bird feathers/plume/preen/croup/calamus/fowl/drumstick/syrinx/bill/rump/vane/barb/quill/shaft/pecker/pennon/feet/giblets/alula/talon/foot/pinion/wing/wishbone/nib/sac/giblet/furcula/bird/neb/feather/gland/oyster/thigh/plumage/web/hindquarters/beak/parson's_nose/wishing_bone/pope's_nose/spurious_wing/bastard_wing/croupe/air_sac/quill_feather/uropygium/bird's_foot/uropygial/second_joint/uropygial_gland/preen_gland/flight_feather/dark_meat
brush bristle/hold/shank/grip/handgrip/handle/head/stem
bus seats/conductor/window/driver/roof
byte bit
car engine/armrest/headrest/grille/hinge/tailpipe/suspension/hood/horn/hooter/petrol/pintle/trunk/floorboard/bar/gas/buffer/door/stabilizer/seat/window/exhaust/tailfin/back/luggage/pedal/cowling/seatbelt/high/wing/gasoline/fin/cowl/silencer/gun/compartment/rear/radiator/accessory/sunroof/roof/lights/bumper/glove/bag/cushion/backrest/accelerator/fender/third/throttle/bonnet/air/gear/muffler/mirror/shock/reverse/anti-sway_bar/tail_fin/accelerator_pedal/car_seat/automobile_horn/anti-sway/automobile_engine/gasoline_engine/car_door/shock_absorber/luggage_compartment/glove_compartment/bumper_guard/exhaust_system/first_gear/high_gear/rear_window/sunshine-roof/third_gear/air_bag/doorlock/petrol_engine/automobile_trunk/auto_accessory/inlet_manifold/horn_button/running_board/stabilizer_bar/motor_horn/exhaust_manifold/exhaust_pipe/radiator_grille/low_gear/flexible_joint/head_restraint/hood_ornament/exhaust_valve/car_mirror/gas_pedal/seat_belt/reverse_gear/car_horn/car_window/suspension_system
castle donjon/tower/turret/gate/dungeon/moat/keep/great_hall
cat whiskers/coat/paw/paws/fur/eyes/back/claws/tail/teeth
chair seat/armrest/headrest/armrests/rest/pad/back/leg/backrest/legs
church altar/choir/vestry/transept/apse/sanctuary/rood/screen/bema/nave/tower/sacristy/corner/chancel/amen/chapel/apsis/side/narthex/presbytery/side_chapel/lady_chapel/church_tower/rood_screen/amen_corner
comb teeth/shaft/grip/tooth/handle
day hour/forenoon/eventide/nanosecond/noonday/femtosecond/hr/minutes/microsecond/msec/time/midnight/sec/nighttime/min/morning/noon/evening/dark/picosecond/daytime/minute/daylight/s/high/even/quarter/morn/noontide/second/afternoon/twelve/millisecond/midday/midafternoon/attosecond/night/morning_time/high_noon/half-hour/twelve_noon/late-night_hour/early-morning_hour/lights-out/60_minutes/small_hours/30_minutes/15_minutes/quarter-hour
deer antler/antlers/withers/flag/scut
dollar cent
door hinge/keyhole/threshold/doorframe/bolt/deadbolt/doorjamb/tumbler/doorpost/doorstep/doorcase/case/lock/casing/doorsill
dress sleeve/slide/plastron/zip/zipper/fastener/hemline/bodice/neckline/waistline/belt/slide_fastener/zip_fastener
filename extension/name
flower petal/leaf/anther/style/perianth/placenta/stamen/pistil/ovary/corolla/carpel/envelope/sepal/calyx/stigma/chlamys/petals/corona/perigonium/perigone/flower_petal/floral_leaf/floral_envelope/gynostegium
gigabit megabit/kbit/kb/kilobit/mb/mbit
gramm milligram/mg/grain/milligram/mcg/carat/microgram/ng/dg/decigram/nanogram/metric_grain/obolus
guitar string/deck/pegs/fret/strings/frets/peg/fingerboard
gun trigger/holder/safety/extractor/clip/magazine/barrel/hammer/viewfinder/gunsight/stock/cartridge/remover/chamber/ejector/cock/catch/finder/mechanism/gunstock/lock/action/muzzle/key/gunlock/cartridge_holder/gun_muzzle/gun-sight/action_mechanism/gun_chamber/gun_trigger/firing_mechanism/safety_lock/cartridge_extractor/firing_chamber/cartridge_ejector/view_finder/cartridge_clip/gun_barrel/safety_catch/cartridge_remover
harbor dock/facility/anchorage/landing/docking/dockage/anchorage_ground/docking_facility/landing_place/landing_stage
jail cell/cellblock/guard/police/prison_cell/jail_cell
jewellery bead/stone/wire/beads/gemstone/gem/metal/gold/silver/platina/bead/beads/jewel
litre millilitre/cc/ml/milliliter/cl/dl/deciliter/mil/cubic_centimetre/centiliter/decilitre/cubic_centimeter/centilitre/cubic_millimeter/cubic_millimetre
movie scene/subtitles/footage/credit/episode/shot/sequence/credits/caption
orthography hyphenation/punctuation/punctuation_mark/word_division/spelling
piano keyboard/clavier/loud/hammer/sounding/pedal/sustaining/soft/fingerboard/soundboard/action/board/key/fallboard/piano_action/action_mechanism/damper_block/fall-board/sounding_board/sustaining_pedal/loud_pedal/piano_damper/piano_keyboard/sound_hole/soft_pedal
pie crust/cheese/filling/fruit/apple/berries/glazing/pastry/icing
poem stanza/canto/prosody/rime/line/rhyme/verse/poetic_rhythm/rhythmic_pattern/verse_line/line_of_verse/line_of_poetry
pub bar/barroom/taproom/saloon/ginmill
radio receiver/tuner/radio/demodulator/transmitter/detector/receiving/set/amplifier/wireless/radio_transmitter/receiving_set/radio_receiver/radio_set
railcar suspension/cushion/shock/shock_absorber/suspension_system
seafront harbor/seaport/dock/haven/anchorage/landing/harbour/dockage/anchorage_ground/docking_facility/landing_place/landing_stage
shilling pence
shirt button/dickie/collar/dickey/sleeve/buttons/dicky/pocket/shirttail/shirtsleeve/shirtfront/shirt_button
sonata movement/psrt
staircase step/riser/landing/tread/stair/stairhead
sword blade/forte/hilt/peak/foible/point/pommel/haft/tip/knob/helve/knife_edge/cutting_edge
table tabletop/tableware/leg/legs
teapot spout/handle/knob/lid/body/belly/base/filter/tea_filter
telephone receiver/mouthpiece/dial/wire/screen/display/telephone_receiver
tonne kilogram/mg/gm/hg/grain/milligram/hundredweight/kilo/mcg/dag/carat/microgram/gramme/quintal/ng/gram/dg/g/kg/decigram/nanogram/myriagram/centner/metric_grain/myg/dekagram/decagram/metric_hundredweight/obolus/doppelzentner/hectogram/dkg
torso chest/arse/shoulder/bum/midriff/groin/deltoid/diaphragm/lat/pectoralis/behind/gluteus/middle/stomach/teres/thorax/tush/ab/rump/breastbone/buns/gladiolus/haunch/backside/buttocks/serratus/pectoral/stern/navel/paunch/seat/mediastinum/ass/axilla/back/belly/bottom/omphalos/fundament/acromion/derriere/hindgut/gut/gallbladder/saddle/cheek/waist/butt/bowel/keister/bellybutton/pectus/prat/loins/abdominal/rear/dorsum/posterior/venter/small/abdomen/umbilicus/armpit/waistline/sternum/scapula/glute/manubrium/fanny/side/midsection/pecs/hip/buttock/intestine/breast/can/tail/hindquarters/xiphoid_process/thoracic_vertebra/abdominal_wall/musculus_deltoideus/abdominal_cavity/arteria_circumflexa_scapulae/arteria_glutes/arteria_axillaris/axillary_fossa/arteria_colica/articulatio_humeri/shoulder_joint/gall_bladder/spare_tire/arteria_circumflexa_humeri/serratus_muscles/axillary_artery/gluteus_muscle/love_handle/latissimus_dorsi/pectoral_muscle/tooshie/abdominal_muscle/circumflex_humeral_artery/abdominal_aorta/vena_thoracica/musculus_pectoralis/hypochondrium/area_of_cardiac_dullness/glenoid_cavity/rib_cage/thoracic_aorta/omphalus/circumflex_scapular_artery/acromial_process/shoulder_bone/tail_end/rear_end/gluteal_muscle/inguen/shoulder_blade/rotator_cuff/corpus_sternum/dorsal_vertebra/teres_muscle/thoracic_cavity/axillary_cavity/chest_cavity/deltoid_muscle/belly_button/gluteal_artery/thoracic_vein/glenoid_fossa/nates/colic_artery/lumbar_vertebra/hind_end
tripod leg/stand
typewriter keyboard/typewriter/carriage/tab/ribbon/shift/backspace/action/key/typewriter_carriage/backspace_key/action_mechanism/typewriter_keyboard/shift_key/space_bar/tab_key/typewriter_ribbon/backspacer
window pane/sash/windowpane/window/fastener/glass/frame/case/windowsill/mullion/jamb/lock/casing/sash_lock/window_glass/sash_fastener/pane_of_glass/window_lock/window_sash/window_frame
womb cervix/caul/placenta/oviduct/veil/myometrium/endometrium/uterine_artery/embryonic_membrane/uterine_cervix/uterine_cavity/fallopian_tube/uterine_tube/cervix_uteri/arteria_uterina
: 4_Lexicographic_semantics - L07 [synonyms - intensity]
afraid terrified/horrified/scared/stiff/petrified/fearful/panicky
angry furious/enraged/outraged/aggrivated/irate/seething
ask beg/implore/pray/entreat/supplicate/insist
bad awful/atrocious/abominable/dreadful/painful/terrible/unspeakable
boring tedious/deadening/dull/ho-hum/irksome/tiresome/wearisome
cat lion/tiger/leopard/panther/jaguar
chuckle laugh/guffaw/chortle/guffaw/snicker/snigger/titter/roar
confused lost/bewildered/trapped/desperate
creative ingenious/inventive/demiurgic/deviceful/innovational/innovative/innovatory/original/originative
cry scream/shriek/screech/screeching
damp drenched/dripping/saturated/soaked/soaking/sodden/sopping/soppy/soused/wringing-wet
dinner feast/banquet/fiesta
dislike hate/abhor/detest/loathe/abominate/execrate/contemn/despise/scorn/disdain
doze sleep/slumber
drizzle rain/shower/raifall/deluge
excited agitated/nervous
faith fanatism/fanaticism/zealotry
giggle laugh/guffaw/chortle/guffaw/snicker/snigger/titter/roar
guilty remorseful/sorrowful/unworthy
happy ecstatic/enraptured/rapturous/rapt/rhapsodic
house palace/castle
hungry starving/famished/peckish/ravenous/starved
indulge pamper/spoil/coddle
interesting exciting/exhilarant/exhilarating/exhilarative/eye-popping/inspiring/intoxicating/rousing/stimulating/stirring/arresting/interesting/intriguing/moving/provocative/heady/thrilling
irritate enrage/incense/infuriate/ire/mad/madden/steam/umbrage
jog run/scarper/flee/fly
lake sea/ocean
like love/care/fond/crush/infatuate
love adore/fetishize/idolize/idolise/worship/hero-worship/revere
monkey gorilla
nap sleep/slumber
necessary essential/indispensable/vital/required
opposed averse/antipathetic/antipathetical/indisposed/loath/loth
pain torment/torture/agony
pony horse
poorly afflicted/sick/ill/stricken
rain deluge/shower
sad desparate/despondent/despairing/desponding/forlorn/hopeless/melancholy
sea ocean
snack meal/eat
sniffles pneumonia
soon immediately/promptly/straightaway
strong powerful/forceful/super/potent
tasty delicious/delectable/luscious/pleasant-tasting/scrumptious/toothsome/yummy/mouth-watering/ambrosial/heavenly
tired exhausted/drained
unfortunate tragic/woeful/grievous/wretched/miserable/awful/lamentable/regrettable/desperate/hopeless/disastrous
unhappy miserable/suffering/wretched
want crave/hunger/thirst/starve/lust
warm hot/fiery/flaming/heated/red-hot/sizzling/sensual/sultry/torrid/white-hot
well flourishing/robust/booming/prospering/prosperous/thriving
: 4_Lexicographic_semantics - L08 [synonyms - exact]
airplane aeroplane/plane
auto car/automobile/motorcar
baby infant/babe
bicycle bike/wheel/cycle
child kid/youngster/minor/shaver/nipper/small_fry/tiddler/tike/tyke/fry/nestling
cloth fabric/material/textile
clothes clothing/apparel/dress
confused baffled/befuddled/bemused/bewildered/confounded/lost/mazed/mixed-up
dollars bucks
emphasis accent/accentuaion/importance/stress/significance
father dad/daddy
flower blossom/bloom
harbor seaport/haven/harbour
help aid/assist
hieroglyph hieroglyphic/pictogram
homogeneous uniform/unvarying
honest sincere/ingenuous/true/direct/truthful
identical same/indistinguishable
incorrect wrong/counterfactual/erroneous/inaccurate/specious/unsound/untrue/false
intelligent clever/smart
jewel gem/stone
lad chap/fellow/feller/fella/gent/blighter/cuss/bloke
lady madam/dame/ma'am/gentlewoman/madame/woman
lazy indolent/faineant/otiose/slothful/work-shy
list listing/enumeration
loyal faithful/true/dependable/devoted/reliable
market marketplace/mart/bazaar
mend repair/fix/fixing/fixture/mending/reparation/patch/darn/darning
mesh gauze/netting/veiling/hairnet/reseau/net/save-all/snood/sparker/tulle/wirework/grillwork
monument memorial
mother mom/mommy/mum
murder slaying/slay/execution
new modern/recent
obsolete outdated/out-of-date/superannuated
organized arranged/configured/corporate/incorporated/re-formed/reorganized/reorganised
package parcel/pack/packet/bundle
phone telephone/cell/cellphone/smartphone
portion part/component_part/component/constituent
railway railroad
rational logical/coherent/reasonable/sane
reasonable sensible
rock stone
shore coast/strand/bank/beach/
snake serpent/ophidian
sofa couch/lounge
spouse partner/mate/better_half
style manner/mode/fashion/way
sweets confectionery/dessert/confection
villain scoundrel/rascal
vocabulary lexicon/wordbook/dictionary/glossary
: 4_Lexicographic_semantics - L09 [antonyms - gradable]
able unable/incapable/incompetent/unequal
abundant scarce/rare/tight/meager/meagre/meagerly/stingy/scrimpy/insufficient/deficient
aware unaware/oblivious/unmindful/unconscious/unsuspecting/asleep/insensible/unconscious/unwitting/ignorant/indifferent/oblivious
beautiful ugly/disfigured/evil-looking/fugly/grotesque/monstrous/hideous/repulsive/ill-favored/ill-favoured/scrofulous/unlovely/unpicturesque/unsightly/displeasing/unattractive/awkward
big small/atomic/subatomic/bantam/diminutive/lilliputian/midget/petite/tiny/flyspeck/bitty/bittie/teensy/teentsy/teeny/wee/weeny/weensy/teensy-weensy/teeny-weeny/itty-bitty/itsy-bitsy/dinky/dwarfish/elfin/elflike/gnomish/half-size/infinitesimal/minute/lesser/microscopic/microscopical/micro/miniature/minuscule/miniscule/olive-sized/pocket-size/pocket-sized/pocketable/puny/runty/shrimpy/slender/slim/smaller/littler/smallish/small-scale/undersize/undersized
bright pale/colorless/colourless/dull/neutral/pale/white/bleached/faded/washed-out/washy/drab/somber/sombre/dulled/greyed/etiolate/etiolated/lurid/waxen/waxlike/waxy/whitened
cheap expensive/big-ticket/high-ticket/costly/dear/high-priced/pricey/pricy/dearly-won/overpriced/valuable
clean dirty/soiled/unclean/augean/bedraggled/draggled/befouled/fouled/begrimed/dingy/grimy/grubby/grungy/raunchy/black/smutty/buggy/cobwebby/dirty-faced/feculent/filthy/foul/nasty/flyblown/squalid/sordid/greasy/oily/lousy/maculate/mucky/muddy/ratty/scummy/smudgy/snotty/snot-nosed/sooty/travel-soiled/travel-stained/uncleanly/unswept/unwashed
clear vague/obscure/unclear/undefined/indefinable/undefinable
close distant/remote/removed/far/faraway/
colorful colorless/colourless/dull/neutral/pale/white/bleached/faded/washed-out/washy/drab/somber/sombre/dulled/greyed/etiolate/etiolated/lurid/waxen/waxlike/waxy/whitened
common rare/infrequent/scarce/uncommon/extraordinary
competent incompetent/unskilled/unqualified/inefficient/unqualified/unskilled
concerned unconcerned/blase/blithe/casual/insouciant/nonchalant/degage/detached/uninvolved/indifferent/careless/uninvolved/untroubled
cooked raw/half-baked/fresh/natural/underdone/rare/uncooked/untoasted
dangerous safe/fail-safe/risk-free/riskless/unhazardous/safe-and-sound/unhurt/harmless/invulnerable/secure/uninjured
decisive hesitating/indecisive/hesitant/inconclusive/irresolute
dry wet/bedewed/dewy/besprent/boggy/marshy/miry/mucky/muddy/quaggy/sloppy/sloughy/soggy/squashy/swampy/waterlogged/clammy/dank/damp/dampish/moist/sodden/soppy/drippy/drizzly/humid/misty/muggy/steamy/sticky/reeking/watery/rheumy/showery/rainy/steaming/tacky/undried/washed
energetic lethargic/unergetic/dazed/foggy/groggy/logy/stuporous/dreamy/lackadaisical/languid/languorous/listless/inactive
familiar unfamiliar/strange/unknown/unacquainted/unacquainted/foreign/strange/unknown
fat thin/lean/anorexic/anorectic/bony/cadaverous/emaciated/gaunt/haggard/pinched/skeletal/wasted/deep-eyed/hollow-eyed/sunken-eyed/gangling/gangly/lanky/lank/spindly/rawboned/reedy/reedlike/twiggy/twiglike/scarecrowish/scraggy/boney/scrawny/skinny/underweight/weedy/shriveled/shrivelled/shrunken/withered/wizen/wizened/slender/slight/slim/svelte/slender-waisted/slim-waisted/wasp-waisted/spare/trim/spindle-legged/spindle-shanked/stringy/wiry/wisplike/wispy
full empty/bare/stripped/blank/clean/white/empty-handed/glassy/glazed/lifeless/looted/pillaged/plundered/ransacked/vacant/vacuous/void
gaseous solid/hard/coagulated/solidified/concrete/congealed/jelled/jellied/dry/semisolid/solid-state
generous stingy/beggarly/mean/cheap/chinchy/chintzy/cheeseparing/close/near/penny-pinching/skinny/closefisted/hardfisted/tightfisted/grudging/niggardly/scrimy/mingy/miserly/tight/parsimonious/penurious/selfish/uncharitable/ungenerous/meanspirited
happy sad/bittersweet/doleful/mournful/heavyhearted/melancholy/melancholic/pensive/wistful/tragic/tragical/tragicomic/tragicomical/deplorable/distressing/lamentable/pitiful/sorry
hard soft/mellow/brushed/fleecy/napped/cheeselike/compressible/squeezable/cottony/cushioned/cushiony/padded/demulcent/emollient/salving/softening/downy/downlike/flossy/fluffy/flaccid/flocculent/woolly/wooly/yielding/mushy/overstuffed/softish/semisoft/spongy/squashy/squishy/spongelike/velvet/velvety
hot cold/chilly/frosty/cool/frigid
interesting uninteresting/dull/boring/deadening/ho-hum/irksome/slow/tedious/tiresome/wearisome/insipid/jejune/narcotic/soporiferous/soporific/prosaic/prosy/earthbound/ponderous/putdownable/unexciting/unstimulating
introvert extravert/extrovert/outgoing/extroverted/forthcoming/sociable
large small/little/atomic/subatomic/bantam/diminutive/lilliputian/midget/petite/tiny/flyspeck/bitty/bittie/teensy/teentsy/teeny/wee/weeny/weensy/teensy-weensy/teeny-weeny/itty-bitty/itsy-bitsy/dinky/dwarfish/elfin/elflike/gnomish/half-size/infinitesimal/minute/lesser/microscopic/microscopical/micro/miniature/minuscule/miniscule/olive-sized/pocket-size/pocket-sized/pocketable/puny/runty/shrimpy/slender/slim/smaller/littler/smallish/small-scale/undersize/undersized
long short/abbreviated/shortened/truncated/brief/clipped/fleeting/fugitive/momentaneous/momentary/short_and_sweet/short-dated/short-range/short-run/short-term/abbreviated/brief/close/curtal/sawed-off/sawn-off/shortened/shortish/short-range/short-snouted/snub/stubby/telescoped/truncate/truncated/chunky/dumpy/low-set/squat/squatty/stumpy/compact/heavyset/stocky/thick/thickset/half-length/pint-size/pint-sized/runty/sawed-off/sawn-off/short-stalked/squab/squabby
lumpy flat/level/plane/even/
noisy silent/uncommunicative/dumb/mute/inarticulate/unarticulate
normal abnormal/aberrant/deviant/deviate/anomalous/antidromic/atypical/irregular/brachydactylic/brachydactylous/defective/freakish/kinky/perverted/subnormal/supernormal/vicarious/unusual/exceptional/insane/unnatural
organized unorganized/unstructured/uncoordinated/unformed/unincorporated
pale tanned/bronzed/suntanned/brunet/brunette
rich poor/broke/bust/skint/stone-broke/stony-broke/destitute/impoverished/indigent/necessitous/needy/poverty-stricken/hard_up/impecunious/penniless/penurious/pinched/moneyless/unprovided
sane crazy/loony/looney/nutcase/weirdo/mad/insane
short tall/gangling/gangly/lanky/rangy/height/leggy/long-legged/long-shanked/tall-growing/long/long-stalked/tall-stalked/stately/statuesque/tallish
simple difficult/challenging/hard/complicated/demanding/daunting/taxing
sincere insincere/bootlicking/fawning/obsequious/sycophantic/toadyish/buttery/fulsome/oily/oleaginous/smarmy/soapy/unctuous/dissimulative/false/feigned/gilded/meretricious/specious/hypocritical/plausible/counterfeit/imitative/dishonest/dishonorable/disingenuous/artful/false/unreal
slow fast/quick/accelerated/alacritous/blistering/hot/red-hot/double-quick/express/fast-breaking/fast-paced/fleet/swift/high-speed/high-velocity/hurrying/scurrying/immediate/prompt/quick/straightaway/instantaneous/instant/meteoric/speedy/rapid/winged/windy
sweet sour/acerb/acerbic/astringent/acetose/acetous/vinegary/vinegarish/acidic/acid/acidulent/acidulous/lemony/lemonlike/sourish/tangy/tart/subacid/bitter
tasty tasteless/bland/flat/flavorless/flavourless/insipid/savorless/savourless/vapid/unflavored/unflavoured/nonflavored/nonflavoured/unsalted/unseasoned/unappetizing/unappetising/unpalatable
tight loose/lax/baggy/loose-fitting/sloppy/flyaway/free/liberal/informal/unofficial
warm cool/cold/chilly/frosty/cool/frigid
white black/dark/lightless
wide narrow/constricting/constrictive/narrowing/narrowed/narrow-mouthed/slender/thin/strait/straplike/tapered/tapering/limited
willing unwilling/defiantnoncompliant/involuntary/nonvoluntary/unvoluntary/disinclined/averse/backward/hesitant/indisposed/loath/reluctant/uneager/unwishful
young old/aged/elderly/older/senior/age/aging/ageing/senescent/ancient/anile/centenarian/darkened/doddering/doddery/gaga/senile/emeritus/grey/gray/grey-haired/gray-haired/grey-headed/gray-headed/grizzly/hoar/hoary/white-haired/middle-aged/nonagenarian/octogenarian/oldish/overage/overaged/superannuated/over-the-hill/sexagenarian/venerable/experienced/experient/mature/senior
: 4_Lexicographic_semantics - L10 [antonyms - binary]
after before/earlier/previously
ahead behind/rear/after/tail/beforehand
anterior posterior
backward forward/forwards/frontward/frontwards/forrad/forrard/forth/onward
before after/subsequently/later/afterwards/afterward/ahead
beginning end/terminal/ending/last/final/finish/finale/conclusion
below above/higher/up
climb descend/declivitous/downhill/downward-sloping/degressive/descendant/descendent/down/downward/downward-arching/drizzling/dropping/falling/raining
dead alive/living/live
decrement increment
descend ascend/climb/rise/upward/ascendent/ascendant
dive emerge
down up/above/ahead/lead/leading/aweigh/dormie/dormy/heavenward/skyward/risen/sprouted/upbound/upfield/upward
downslope upslope/ascent
drop lift/pick_up
dynamic static/still/unmoving/unchanging
employ dismiss/fire/sack/displace/terminate
exit entrance/entranceway/entryway/entry/entree
fall rise/upward/climb
first last/end/terminal/ending/final/finish/finale/conclusion
forget remember/retrieve/recall/call_back/call_up/recollect
forward backward/back/backwards/rearward/rearwards
front back/rear/forepart
in out/outer/exterior/outside
inbound outbound
inhale exhale
input output
inside outside/exterior/out
interior exterior/outdoor/out-of-door/outside
internal external/outer/outside
inverse reverse/reversion/reversal/turnabout/turnaround
mortal immortal
occupied vacant/free
off on
out in/inside
outward upward/up/upwards
over under/below/beneath
previously subsequently/later/afterwards/afterward/after/subsequent
proceed retreat/return
rise sink/drop/fall
south north
southeast southwest/northeast
submerge emerge
top bottom/underside/undersurface
toward away/off/forth/aside
true false/incorrect/wrong/mistaken
under over/above/up
up down/downwards/downward/downwardly
uphill downhill/decline/fall/declivitous/downward-sloping
west east
